,Brands,Models,Battery,OriginalPrice,DiscountedPrice,Discount,Rating,Reviews
141,realme,realme Buds T300,,"₹3,999","₹1,799",55%,4.3,"(1,14,250)"
142,boAt,boAt Airdopes Prime,50,"₹4,490","₹1,199",73%,4.2,(848)
143,Mivi,"Mivi Duopods K6,",50,"₹3,999",₹799,80%,3.9,"(46,582)"
144,boAt,boAt Airdopes 161,,"₹5,999","₹1,299",78%,3.8,"(1,12,490)"
145,boAt,boAt Airdopes 131,60,"₹6,990","₹1,399",79%,3.7,"(63,938)"
146,boAt,"boAt Airdopes 313,",75,"₹3,990","₹1,099",72%,4.1,"(1,536)"
147,TRIGGR,TRIGGR Ultrabuds N1,40,"₹3,999","₹1,199",70%,3.9,"(30,610)"
148,Noise,Noise Airwave Pro,60,"₹3,999","₹1,499",62%,3.9,"(1,010)"
149,GOBOULT,GOBOULT Y1 Pro,60,"₹5,999","₹1,099",81%,4.1,"(1,33,323)"
150,,,,,₹599,70%,4,
151,,,,,"₹1,099",55%,5,
152,,,,,"₹1,099",63%,5,
153,,,,,"₹1,499",81%,4,
154,,,,,"₹1,498",75%,4,
155,,,,,,,5,
156,,,,,,,3.8,
157,,,,,,,3,
158,,,,,,,2,
159,,,,,,,4.2,
160,,,,,,,5,
161,,,,,,,5,
162,,,,,,,4.2,
163,,,,,,,4,
164,,,,,,,5,
165,GOBOULT,GOBOULT Y1 with,50,"₹5,499",₹699,87%,4.1,"(5,57,237)"
166,Noise,Noise Buds VS102,50,"₹3,499","₹1,299",62%,4,"(6,68,128)"
167,Hammer,Hammer Screen TWS,,"₹8,999","₹1,799",80%,3.9,(23)
168,Noise,Noise Aura Buds,60,"₹4,499","₹1,499",66%,4,"(7,429)"
